,username,tweets,similarity,mentioned,class
156,fadel_deldel,1,1,0,negative
157,fadliaprillia13,1,1,0,negative
158,fairyshine__,1,1,0,negative
159,faiza_abdullah7,1,1,1,negative
160,faizullah2112,2,0.702259958738973,7,negative
161,falich22,1,1,0,negative
162,faqirprana,20,0.721479275589672,277,negative
163,farrezlevi,1,1,0,negative
164,febby_wu,2,0.735702260395516,3,negative
165,feril_haqq,1,1,0,negative
166,fhadellaa,1,1,0,negative
167,fikri_09156,1,1,0,negative
168,filsufghosting,1,1,0,negative
169,firmanuciha84,1,1,0,negative
170,fjernurman,1,1,0,negative
171,fkadrun,1,1,0,negative
172,fucker_on,7,1,7,negative
173,gadisresidu_b3,1,1,4,negative
174,galangadipura1,1,1,0,negative
175,gazisurau,1,1,0,negative
176,gentanggentong2,1,1,1,negative
177,getah_jeruk,2,1,1,negative
178,ghcl12,1,1,0,negative
179,ghibahnumber1,1,1,0,positive
180,gila_hickey,1,1,0,negative
181,gintalongdong,1,1,0,negative
182,gobeth4,2,0.718217890235992,16,negative
183,gonres4,1,1,0,negative
184,gotham_cty0,131,0.412156157469331,749,1
185,gueends,1,1,1,negative
186,haidarzakki3,1,1,0,negative
187,hail_indonesia,38,0.362691614045104,433,negative
188,hamas191,1,1,0,negative
189,hananyusron,2,0.723606797749979,12,negative
190,haniijulle4,1,1,0,negative
191,hanyaislamsaja,1,1,0,negative
192,hayathnur,1,1,0,negative
193,hayati16113039,1,1,1,negative
194,hendra24777329,3,0.736999240206161,14,negative
195,hendraarjenita,1,1,0,negative
196,hendrikusuma09,1,1,0,negative
197,heriboedi,2,0.663299316185545,0,negative
198,hermawanmukarom,1,1,0,negative
199,herusuherman18,1,1,0,positive
200,hettymunir,2,0.853553390593274,2,negative
201,hirdanmully,1,1,1,negative
202,hmdarsidi,1,1,0,negative
203,honeybe38064164,1,1,1,negative
204,hpradian,1,1,0,negative
205,hrmwnsmrg,1,1,0,negative
206,htbns2003,1,1,0,negative
207,hudori_m,2,0.75,1,negative
208,humic19,3,0.599857497137283,8,negative
209,hwanaalpaca,1,1,0,positive
210,iam_ayek,1,1,0,negative
211,ibnxine,21,0.267492886019364,0,negative
212,ibungkil,1,1,0,negative
213,igisuhendi,1,1,1,negative
214,ilham_sidik17,1,1,0,negative
215,imabi181,1,1,0,negative
216,imhere__e,1,1,0,negative
217,inatronin,2,0.545475429694312,1,negative
218,indonesia_siaga,1,1,0,negative
219,infallibiliti,1,1,0,negative
220,injak_gigi,1,1,0,negative
221,ir5113,8,0.759697055118194,99,negative
222,irfanbayua80,1,1,0,negative
223,iteungtea5,47,0.567363095539316,865,1
224,ivan76324043,3,0.391491274038381,5,negative
225,ivankavalera,1,1,0,negative
226,iwan80an,30,0.563599187848842,560,negative
227,iwanridwan338,7,0.732740290041648,121,negative
228,iwansutta,1,1,3,negative
229,iyang12345678,1,1,0,negative
230,j0cker_jr,41,0.478277650215669,54,negative
231,jacky2105751,3,0.62588812909505,4,negative
232,jakarta2023,1,1,0,negative
233,jaluciparay,42,0.342189453597535,94,negative
234,jambulumba,1,1,0,negative
235,jerry_huniam,1,1,0,negative
236,jetlee43452611,1,1,0,negative
237,jihad_sanusi,1,1,2,negative
238,joejosef14,1,1,0,negative
239,johnwil13795256,1,1,0,negative
240,jthionardo,2,0.946713556182415,2,negative
241,julian51758164,9,0.751775808505336,45,negative
242,jumaroh34,1,1,0,negative
243,justafucker2,1,1,0,negative
244,kahfiewaksa,8,0.330418063525579,1,negative
245,kamajaya12,1,1,0,negative
246,kangaco_11,5,0.30319328057967,0,negative
247,kangbob33,1,1,0,negative
248,kangdarja,3,0.5578036765281,17,negative
249,kapal4d1,2,0.677324841403798,0,negative
250,karyawantree,1,1,18,negative
251,keithrizal161,5,0.865694957868871,10,negative
252,kem_plang,1,1,0,negative
253,kembangturi881,1,1,0,negative
254,kemplengmbolo,1,1,0,negative
255,kertaningnaga,1,1,13,negative
256,khandzac,1,1,0,negative
257,khoirul20950418,4,0.792705098312484,0,negative
258,kienoi,1,1,1,negative
259,kmlupa,4,1,0,negative
260,knmaneges,1,1,0,negative
261,knotinfo1,1,1,2,negative
262,kobou17,1,1,0,negative
263,koemboeak,1,1,0,negative
264,koncola68197806,1,1,8,negative
265,kontenislam_com,2,0.538575837490523,0,negative
266,korban_rezim,36,0.325060777608277,277,negative
267,kttexnx,1,1,0,negative
268,kucing920,1,1,0,negative
269,kulidollareuro,5,0.661615360416317,2,negative
270,kusband92010867,1,1,0,negative
271,kusnocahlanang,1,1,0,negative
272,labure5,7,0.497798870920322,0,negative
273,lafuanlnaufal,1,1,1,negative
274,lagi__malas,4,0.471041371026808,2,negative
275,langdoneh,1,1,0,negative
276,ljempalitan,1,1,0,negative
277,lkmnokterman,7,0.591032590243596,15,negative
278,lollynadh,1,1,0,negative
279,lurahtanpowargo,1,1,0,negative
280,lutfizainalm,1,1,0,negative
281,lynsora1,1,1,0,negative
282,m45bro____,2,0.816227766016838,31,negative
283,madsaleh121,1,1,1,negative
284,maksimusramses,1,1,0,negative
285,malcolmxsurau,2,0.520761369963435,0,negative
286,manisewidiarti,72,0.51213712923727,404,1
287,martanazari2,1,1,0,negative
288,marthaaprilia20,3,1,3,negative
289,mas_al90,1,1,0,negative
290,masykur21280228,1,1,0,negative
291,masykur62332426,3,0.47988120328106,0,negative
292,maulana00454021,1,1,14,negative
293,maulana050317,1,1,0,negative
294,mawarsolitaire,6,0.404442825298211,151,negative
295,maxaksi,1,1,2,negative
296,mazbaguzs,1,1,0,negative
297,mbahurekso1796,1,1,0,negative
298,mdy_asmara1701,2,0.667705098312484,0,negative
299,mediarakyat4,2,0.585749292571254,1,negative
300,meinstal,1,1,0,positive
301,melati152,6,0.588402574854892,7,negative
302,membalas_pesan,1,1,0,negative
303,merdekja,2,1,0,negative
304,merveskinofc,1,1,0,negative
305,mey1mey1,1,1,1,negative
306,mghanafia,9,0.893247533646301,16,negative
307,miftakhurozi,1,1,0,negative
308,mikailov312,2,0.75,0,negative
309,mimansulaiman,1,1,0,negative
310,mimiekirana1708,2,0.853553390593274,14,negative
311,mmargani5,1,1,1,negative
312,mofirzal,1,1,0,negative
313,mohamma43717442,1,1,0,negative
314,mohtahid,20,0.585656777492365,295,negative
315,mridwanely1,2,0.723606797749979,14,negative
316,msdesyy,1,1,0,negative
317,msyaefiddins,1,1,0,negative
318,mudjibur_rohman,1,1,0,negative
319,muhammadrialdy4,1,1,0,negative
320,muhammadwawans2,1,1,0,negative
321,muhtadin_i,16,0.399696424118445,0,negative
322,mukhamadrozali,2,0.554073807043587,0,negative
323,mundirunkurnia1,1,1,1,negative
324,nafaradesign,2,0.816227766016838,0,negative
325,nasionalxpos,1,1,0,negative
326,nbettercount,16,0.412739475985902,133,negative
327,nenek27,3,0.74062123533081,5,negative
328,nenxseesree,1,1,18,negative
