,username,tweets,similarity,mentioned,class
120,deddyfp,14,0.7580055145272538,0,1
121,dedekyangkedua,6,0.5455986960890823,98,1
122,deepgrohl33,1,1.0,1,1
123,delvy61863935,2,0.5,0,1
124,demokos1,1,1.0,0,1
125,denai69,1,0.9999999999999998,2,1
126,denayuuw,1,0.9999999999999998,0,1
127,denish02132322,1,1.0,1,1
128,derajat82077983,4,0.9604101966249683,11,1
129,deraoyy,1,1.0000000000000002,0,1
130,dewimajid2,7,0.37215225906718963,120,1
131,dianasoha,1,0.9999999999999998,0,1
132,dinosaurus_2021,7,0.7001859597276984,107,1
133,dkgphmsdms,3,0.6106392394137039,2,1
134,dodotpramudyo,1,1.0000000000000002,0,1
135,doyanngambek,1,1.0000000000000002,0,1
136,dsekarlangit,5,0.8575040627920734,38,1
137,dv12o5___,10,0.3223130771005978,27,1
138,dz1975,1,0.9999999999999998,1,1
139,dzsakinah,1,1.0,1,1
140,edisurantaangin,1,0.9999999999999999,1,1
141,ehsatria,1,1.0,0,1
142,eif27,1,1.0,0,1
144,elbetbulusulur2,2,1.0000000000000002,0,1
145,elinmoenik2,1,1.0,0,1
146,elzusmar3,1,1.0,2,1
147,emirar141,1,1.0000000000000002,0,1
149,eoneeighty,1,0.9999999999999998,0,1
150,erman60717819,3,0.45232612340888695,0,1
151,erwannusantara,1,1.0000000000000002,0,1
152,esbuahenakya,1,1.0000000000000002,0,1
153,et3k3wer,2,0.8380617018914065,2,1
154,ezza_ptrm,1,1.0000000000000002,0,1
155,fabian_shakti,1,0.9999999999999998,1,1
156,fadel_deldel,1,1.0,0,1
157,fadliaprillia13,1,0.9999999999999998,0,1
158,fairyshine__,1,1.0,0,1
159,faiza_abdullah7,1,1.0,1,1
160,faizullah2112,2,0.7022599587389726,7,1
161,falich22,1,0.9999999999999998,0,1
162,faqirprana,20,0.7214792755896717,277,1
163,farrezlevi,1,1.0,0,1
164,febby_wu,2,0.7357022603955157,3,1
165,feril_haqq,1,1.0,0,1
166,fhadellaa,1,1.0000000000000002,0,1
167,fikri_09156,1,1.0,0,1
168,filsufghosting,1,0.9999999999999998,0,1
169,firmanuciha84,1,1.0000000000000002,0,1
170,fjernurman,1,1.0,0,1
171,fkadrun,1,1.0,0,1
172,fucker_on,7,1.0,7,1
173,gadisresidu_b3,1,1.0000000000000002,4,1
174,galangadipura1,1,1.0,0,1
175,gazisurau,1,1.0,0,1
176,gentanggentong2,1,0.9999999999999998,1,1
177,getah_jeruk,2,1.0,1,1
178,ghcl12,1,1.0,0,1
179,ghibahnumber1,1,0.9999999999999999,0,1
180,gila_hickey,1,1.0,0,1
181,gintalongdong,1,0.9999999999999998,0,1
182,gobeth4,2,0.7182178902359924,16,1
183,gonres4,1,0.9999999999999998,0,1
185,gueends,1,0.9999999999999998,1,1
186,haidarzakki3,1,0.9999999999999998,0,1
188,hamas191,1,1.0,0,1
189,hananyusron,2,0.7236067977499789,12,1
190,haniijulle4,1,0.9999999999999999,0,1
191,hanyaislamsaja,1,1.0000000000000002,0,1
192,hayathnur,1,1.0,0,1
193,hayati16113039,1,1.0000000000000002,1,1
194,hendra24777329,3,0.7369992402061611,14,1
195,hendraarjenita,1,1.0,0,1
196,hendrikusuma09,1,1.0,0,1
197,heriboedi,2,0.6632993161855452,0,1
198,hermawanmukarom,1,1.0000000000000002,0,1
199,herusuherman18,1,1.0000000000000002,0,1
200,hettymunir,2,0.8535533905932737,2,1
201,hirdanmully,1,1.0,1,1
202,hmdarsidi,1,1.0,0,1
203,honeybe38064164,1,0.9999999999999998,1,1
204,hpradian,1,1.0,0,1
205,hrmwnsmrg,1,1.0,0,1
206,htbns2003,1,1.0,0,1
207,hudori_m,2,0.75,1,1
208,humic19,3,0.5998574971372826,8,1
209,hwanaalpaca,1,1.0,0,1
210,iam_ayek,1,0.9999999999999998,0,1
211,ibnxine,21,0.26749288601936444,0,1
212,ibungkil,1,1.0000000000000002,0,1
213,igisuhendi,1,1.0000000000000002,1,1
214,ilham_sidik17,1,1.0000000000000002,0,1
215,imabi181,1,0.9999999999999998,0,1
216,imhere__e,1,0.9999999999999999,0,1
217,inatronin,2,0.5454754296943124,1,1
218,indonesia_siaga,1,1.0,0,1
219,infallibiliti,1,0.9999999999999998,0,1
220,injak_gigi,1,0.9999999999999998,0,1
221,ir5113,8,0.7596970551181944,99,1
222,irfanbayua80,1,1.0,0,1
224,ivan76324043,3,0.3914912740383815,5,1
225,ivankavalera,1,1.0000000000000002,0,1
227,iwanridwan338,7,0.7327402900416484,121,1
228,iwansutta,1,0.9999999999999998,3,1
229,iyang12345678,1,1.0000000000000002,0,1
231,jacky2105751,3,0.6258881290950501,4,1
232,jakarta2023,1,1.0000000000000002,0,1
234,jambulumba,1,0.9999999999999998,0,1
