,id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
0,1403680396584259588,1403680396584259584,2021-06-12 18:47:40+07:00,2021-06-12,18:47:40,700,1384638928204963843,ulamaaswaja,Pecinta Ulama Aswaja,,Rezim ini suka kali malaki dan mempersulit rakyat sendiri giliran TKA disediakan Fasilitas.....Kalian ini rezim penjajah atau rezim pemerintah rakyat indonesia ..mungkin belanda aja tidak sekejam ini #PresidenLanggarKonstitusi  #PresidenLanggarKonstitusi,in,[],[],[],0,0,0,"['presidenlanggarkonstitusi', 'presidenlanggarkonstitusi']",[],https://twitter.com/UlamaAswaja/status/1403680396584259588,False,https://twitter.com/geloraco/status/1403613275447717897,0,,,,,,,,[],,,,
1,1403680153775923209,1403469275537371136,2021-06-12 18:46:42+07:00,2021-06-12,18:46:42,700,1402258798618816520,gotham_cty0,Gotham,,@Hail_Indonesia @7thbali @B_dzoel @Wanitadesapena1 @1ni_embun__ @4nw4r_84 @54rwo_00 @60dy1o710n @75Merdeka @_4n9el @__KangMasMo3__ @_BellaPeter @A7i2s @Abahnasaf3 😭😭😭😭 Ingat banggg#PresidenLanggarKonstitusi #PresidenLanggarKonstitusi Suatu kepastian nunggu giliran,in,[],[],[],0,1,0,['presidenlanggarkonstitusi'],[],https://twitter.com/Gotham_cty0/status/1403680153775923209,False,,0,,,,,,,,"[{'screen_name': 'Hail_Indonesia', 'name': 'Hail_Indonesia', 'id': '1376008431719489537'}, {'screen_name': '7thbali', 'name': 'Art-7th-Motion', 'id': '857669894'}, {'screen_name': 'B_dzoel', 'name': 'Bang_Dzoel', 'id': '1351722821009829890'}, {'screen_name': 'Wanitadesapena1', 'name': 'Wanitadesapenari', 'id': '1378609274662711302'}, {'screen_name': '1ni_embun__', 'name': 'ᏕᎥᎥ_ᏋᎷᏰᏬᏁ', 'id': '1345232001712832512'}, {'screen_name': '4nw4r_84', 'name': '🇲🇨4n4k 603m1 pu724🇵🇸', 'id': '1236989225930637313'}, {'screen_name': '54rwo_00', 'name': 'Nanang bambang sarwo00', 'id': '1240296674502692865'}, {'screen_name': '60dy1o710n', 'name': 'bodylotion_mami', 'id': '1310541512220975104'}, {'screen_name': '75Merdeka', 'name': 'Jiwa Merdeka', 'id': '1344134028652265472'}, {'screen_name': '_4n9el', 'name': '🅱️33_AnG3️⃣L', 'id': '1261662127527350272'}, {'screen_name': '__KangMasMo3__', 'name': '🔰Kang Mas PrabU🔰', 'id': '2481611300'}, {'screen_name': '_BellaPeter', 'name': 'Bella', 'id': '1245217422606393344'}, {'screen_name': 'A7i2s', 'name': 'AB3_Y', 'id': '1399601393174863877'}, {'screen_name': 'Abahnasaf3', 'name': 'Ns', 'id': '1382905373858824197'}]",,,,
2,1403679975388028928,1403469275537371136,2021-06-12 18:45:59+07:00,2021-06-12,18:45:59,700,1402258798618816520,gotham_cty0,Gotham,,@B_dzoel @Hail_Indonesia @7thbali @Wanitadesapena1 @1ni_embun__ @4nw4r_84 @54rwo_00 @60dy1o710n @75Merdeka @_4n9el @__KangMasMo3__ @_BellaPeter @A7i2s @Abahnasaf3 Passtii #PresidenLanggarKonstitusi #PresidenLanggarKonstitusi Tak ada yaaangg abaaadiii🎶,in,[],[],[],0,2,0,"['presidenlanggarkonstitusi', 'presidenlanggarkonstitusi']",[],https://twitter.com/Gotham_cty0/status/1403679975388028928,False,,0,,,,,,,,"[{'screen_name': 'B_dzoel', 'name': 'Bang_Dzoel', 'id': '1351722821009829890'}, {'screen_name': 'Hail_Indonesia', 'name': 'Hail_Indonesia', 'id': '1376008431719489537'}, {'screen_name': '7thbali', 'name': 'Art-7th-Motion', 'id': '857669894'}, {'screen_name': 'Wanitadesapena1', 'name': 'Wanitadesapenari', 'id': '1378609274662711302'}, {'screen_name': '1ni_embun__', 'name': 'ᏕᎥᎥ_ᏋᎷᏰᏬᏁ', 'id': '1345232001712832512'}, {'screen_name': '4nw4r_84', 'name': '🇲🇨4n4k 603m1 pu724🇵🇸', 'id': '1236989225930637313'}, {'screen_name': '54rwo_00', 'name': 'Nanang bambang sarwo00', 'id': '1240296674502692865'}, {'screen_name': '60dy1o710n', 'name': 'bodylotion_mami', 'id': '1310541512220975104'}, {'screen_name': '75Merdeka', 'name': 'Jiwa Merdeka', 'id': '1344134028652265472'}, {'screen_name': '_4n9el', 'name': '🅱️33_AnG3️⃣L', 'id': '1261662127527350272'}, {'screen_name': '__KangMasMo3__', 'name': '🔰Kang Mas PrabU🔰', 'id': '2481611300'}, {'screen_name': '_BellaPeter', 'name': 'Bella', 'id': '1245217422606393344'}, {'screen_name': 'A7i2s', 'name': 'AB3_Y', 'id': '1399601393174863877'}, {'screen_name': 'Abahnasaf3', 'name': 'Ns', 'id': '1382905373858824197'}]",,,,
3,1403679965216788487,1403679965216788480,2021-06-12 18:45:57+07:00,2021-06-12,18:45:57,700,1192404484166582273,lollynadh,Ecky,,Miris ga liat keadaan negeri kita... Miris gaaa...? Mirislahhh...! Masa enggak!!!   #PresidenLanggarKonstitusi,in,[],[],[],0,0,0,['presidenlanggarkonstitusi'],[],https://twitter.com/lollyNadh/status/1403679965216788487,False,,0,,,,,,,,[],,,,
4,1403679821868064777,1403616450951094272,2021-06-12 18:45:23+07:00,2021-06-12,18:45:23,700,1164813557801738240,melati152,Melati15,,@Adinda_Zahran1 @zombiebrazil Halooo... DPR masih kaaan... Lihat tuuh 👇 #PresidenLanggarKonstitusi  #PresidenLanggarKonstitusi,in,[],[],[],0,0,0,"['presidenlanggarkonstitusi', 'presidenlanggarkonstitusi']",[],https://twitter.com/Melati152/status/1403679821868064777,False,,0,,,,,,,,"[{'screen_name': 'Adinda_Zahran1', 'name': 'Adinda Zahrany', 'id': '974755820708573184'}, {'screen_name': 'zombiebrazil', 'name': 'GUE(generasi untuk esok)', 'id': '1336613417025556480'}]",,,,
5,1403679806256934925,1403469275537371136,2021-06-12 18:45:19+07:00,2021-06-12,18:45:19,700,1402258798618816520,gotham_cty0,Gotham,,@B_dzoel @Hail_Indonesia @7thbali @Wanitadesapena1 @1ni_embun__ @4nw4r_84 @54rwo_00 @60dy1o710n @75Merdeka @_4n9el @__KangMasMo3__ @_BellaPeter @A7i2s @Abahnasaf3 Eling kebijakane ama orange #PresidenLanggarKonstitusi #PresidenLanggarKonstitusi Lupa hasilee,in,[],[],[],0,1,0,"['presidenlanggarkonstitusi', 'presidenlanggarkonstitusi']",[],https://twitter.com/Gotham_cty0/status/1403679806256934925,False,,0,,,,,,,,"[{'screen_name': 'B_dzoel', 'name': 'Bang_Dzoel', 'id': '1351722821009829890'}, {'screen_name': 'Hail_Indonesia', 'name': 'Hail_Indonesia', 'id': '1376008431719489537'}, {'screen_name': '7thbali', 'name': 'Art-7th-Motion', 'id': '857669894'}, {'screen_name': 'Wanitadesapena1', 'name': 'Wanitadesapenari', 'id': '1378609274662711302'}, {'screen_name': '1ni_embun__', 'name': 'ᏕᎥᎥ_ᏋᎷᏰᏬᏁ', 'id': '1345232001712832512'}, {'screen_name': '4nw4r_84', 'name': '🇲🇨4n4k 603m1 pu724🇵🇸', 'id': '1236989225930637313'}, {'screen_name': '54rwo_00', 'name': 'Nanang bambang sarwo00', 'id': '1240296674502692865'}, {'screen_name': '60dy1o710n', 'name': 'bodylotion_mami', 'id': '1310541512220975104'}, {'screen_name': '75Merdeka', 'name': 'Jiwa Merdeka', 'id': '1344134028652265472'}, {'screen_name': '_4n9el', 'name': '🅱️33_AnG3️⃣L', 'id': '1261662127527350272'}, {'screen_name': '__KangMasMo3__', 'name': '🔰Kang Mas PrabU🔰', 'id': '2481611300'}, {'screen_name': '_BellaPeter', 'name': 'Bella', 'id': '1245217422606393344'}, {'screen_name': 'A7i2s', 'name': 'AB3_Y', 'id': '1399601393174863877'}, {'screen_name': 'Abahnasaf3', 'name': 'Ns', 'id': '1382905373858824197'}]",,,,
6,1403679725441200130,1403679725441200128,2021-06-12 18:45:00+07:00,2021-06-12,18:45:00,700,1270758314784157697,tokozet,IG : @tokozetofficial,,Kepala Charger Mobil ROBOT RT-CC3S seharga Rp87.900. Dapatkan di Shopee!  Cek disini :  https://t.co/l8Pq5ITXMs  #PresidenLanggarKonstitusi #MahasiswaMatiSuri #KejutanPledoiHRS #KapitalismeRugikanBUMN #DisiplinPakaiMasker #RijikBerisik #AturanAntiCintaJKT48 #TokoZet #ShopeeID  https://t.co/3KQ08ULRYI,in,[],['https://shopee.co.id/tokozet/8041204617'],['https://pbs.twimg.com/media/E3rOTvxUcAMPTKc.jpg'],0,0,0,"['presidenlanggarkonstitusi', 'mahasiswamatisuri', 'kejutanpledoihrs', 'kapitalismerugikanbumn', 'disiplinpakaimasker', 'rijikberisik', 'aturananticintajkt48', 'tokozet', 'shopeeid']",[],https://twitter.com/TokoZet/status/1403679725441200130,False,,1,https://pbs.twimg.com/media/E3rOTvxUcAMPTKc.jpg,,,,,,,[],,,,
7,1403679542313504773,1403679542313504768,2021-06-12 18:44:16+07:00,2021-06-12,18:44:16,700,1240775034450235394,korban_rezim,🇮🇩🇮🇩🇮🇩Korban_Rezim🇮🇩🇮🇩🇮🇩,,"AKAN TIBA WAKTUNYA !!✊  Suara protes segala lapisan masyarakat adanya pajak sembako, sekolahan dan sebagainya. Perlawanan ini akan didukung buruh, mahasiswa, rakyat.  ""DPR bagian penguasa tak pernah menyuarakan suara rakyat.""  #PresidenLanggarKonstitusi  https://t.co/kzleIZQqSp",in,[],['https://keuangannews.id/rakyat-terus-dipajaki-muslim-arbi-memicu-jatuhnya-presiden/'],[],0,2,2,['presidenlanggarkonstitusi'],[],https://twitter.com/Korban_Rezim/status/1403679542313504773,False,,0,,,,,,,,[],,,,
8,1403679519593033732,1403469275537371136,2021-06-12 18:44:11+07:00,2021-06-12,18:44:11,700,1402258798618816520,gotham_cty0,Gotham,,@A7i2s @Hail_Indonesia @7thbali @B_dzoel @Wanitadesapena1 @1ni_embun__ @4nw4r_84 @54rwo_00 @60dy1o710n @75Merdeka @_4n9el @__KangMasMo3__ @_BellaPeter @Abahnasaf3 Tagar siapa... #PresidenLanggarKonstitusi #PresidenLanggarKonstitusi Maen nongol dia... Bakarrrr,in,[],[],[],0,1,0,"['presidenlanggarkonstitusi', 'presidenlanggarkonstitusi']",[],https://twitter.com/Gotham_cty0/status/1403679519593033732,False,,0,,,,,,,,"[{'screen_name': 'A7i2s', 'name': 'AB3_Y', 'id': '1399601393174863877'}, {'screen_name': 'Hail_Indonesia', 'name': 'Hail_Indonesia', 'id': '1376008431719489537'}, {'screen_name': '7thbali', 'name': 'Art-7th-Motion', 'id': '857669894'}, {'screen_name': 'B_dzoel', 'name': 'Bang_Dzoel', 'id': '1351722821009829890'}, {'screen_name': 'Wanitadesapena1', 'name': 'Wanitadesapenari', 'id': '1378609274662711302'}, {'screen_name': '1ni_embun__', 'name': 'ᏕᎥᎥ_ᏋᎷᏰᏬᏁ', 'id': '1345232001712832512'}, {'screen_name': '4nw4r_84', 'name': '🇲🇨4n4k 603m1 pu724🇵🇸', 'id': '1236989225930637313'}, {'screen_name': '54rwo_00', 'name': 'Nanang bambang sarwo00', 'id': '1240296674502692865'}, {'screen_name': '60dy1o710n', 'name': 'bodylotion_mami', 'id': '1310541512220975104'}, {'screen_name': '75Merdeka', 'name': 'Jiwa Merdeka', 'id': '1344134028652265472'}, {'screen_name': '_4n9el', 'name': '🅱️33_AnG3️⃣L', 'id': '1261662127527350272'}, {'screen_name': '__KangMasMo3__', 'name': '🔰Kang Mas PrabU🔰', 'id': '2481611300'}, {'screen_name': '_BellaPeter', 'name': 'Bella', 'id': '1245217422606393344'}, {'screen_name': 'Abahnasaf3', 'name': 'Ns', 'id': '1382905373858824197'}]",,,,
9,1403679386323193858,1403469275537371136,2021-06-12 18:43:39+07:00,2021-06-12,18:43:39,700,1402258798618816520,gotham_cty0,Gotham,,@7thbali @InSrikandi_____ @Hail_Indonesia @B_dzoel @Wanitadesapena1 @1ni_embun__ @4nw4r_84 @54rwo_00 @60dy1o710n @75Merdeka @_4n9el @__KangMasMo3__ @_BellaPeter @A7i2s @Abahnasaf3 @NaffA_HayA4603N 1 bln latihan MMA #PresidenLanggarKonstitusi #PresidenLanggarKonstitusi Ngeleesss laaaa,in,[],[],[],0,1,0,"['presidenlanggarkonstitusi', 'presidenlanggarkonstitusi']",[],https://twitter.com/Gotham_cty0/status/1403679386323193858,False,,0,,,,,,,,"[{'screen_name': '7thbali', 'name': 'Art-7th-Motion', 'id': '857669894'}, {'screen_name': 'InSrikandi_____', 'name': 'Opposite6868💞👌', 'id': '1282241995579158529'}, {'screen_name': 'Hail_Indonesia', 'name': 'Hail_Indonesia', 'id': '1376008431719489537'}, {'screen_name': 'B_dzoel', 'name': 'Bang_Dzoel', 'id': '1351722821009829890'}, {'screen_name': 'Wanitadesapena1', 'name': 'Wanitadesapenari', 'id': '1378609274662711302'}, {'screen_name': '1ni_embun__', 'name': 'ᏕᎥᎥ_ᏋᎷᏰᏬᏁ', 'id': '1345232001712832512'}, {'screen_name': '4nw4r_84', 'name': '🇲🇨4n4k 603m1 pu724🇵🇸', 'id': '1236989225930637313'}, {'screen_name': '54rwo_00', 'name': 'Nanang bambang sarwo00', 'id': '1240296674502692865'}, {'screen_name': '60dy1o710n', 'name': 'bodylotion_mami', 'id': '1310541512220975104'}, {'screen_name': '75Merdeka', 'name': 'Jiwa Merdeka', 'id': '1344134028652265472'}, {'screen_name': '_4n9el', 'name': '🅱️33_AnG3️⃣L', 'id': '1261662127527350272'}, {'screen_name': '__KangMasMo3__', 'name': '🔰Kang Mas PrabU🔰', 'id': '2481611300'}, {'screen_name': '_BellaPeter', 'name': 'Bella', 'id': '1245217422606393344'}, {'screen_name': 'A7i2s', 'name': 'AB3_Y', 'id': '1399601393174863877'}, {'screen_name': 'Abahnasaf3', 'name': 'Ns', 'id': '1382905373858824197'}, {'screen_name': 'NaffA_HayA4603N', 'name': '°Mbareb Lawang° 🇮🇩🇵🇸✊', 'id': '2886354007'}]",,,,
